hash,dungeon_id,keystone_level,duration,timestamp,faction,members
d6dfb5e4fe05b34046e609c00a7fc77e9eab3521c0c2c307f7ca793a85fdcdfb,370,9,1695901,1741848234000,ALLIANCE,af22748e2f6b452ca921ea3f8494798c03216e3f56ef1dfb67d9c776430abfdd;63991ed0069b7685c5c0a31149fb86cda94ad0b47ae39c724e80c83eecf0ef04;e44f30b45ec2de2b7095d6e32ffea84138d96025c8bd1d6ff968b07a49a26d82;6863d6d47a045abac09923a49f49cf1643e40bfbc9faeaad52e2854c820a12aa;596f481fd14b60506421087b6b43fc3693becfdcb534f6b79d226cab6a3e92fa
2167edaa47326edc81b10d3e88b133b0730837270b0ccd34e9f4bce0a0addcc6,370,9,1754409,1742176001000,HORDE,d9fd373cb60a05be0eb02efe07c3ebfde00407be65baef3cfa0ac4f0243ea49b;ccfa6a272b856bc40546a62c72ad268a7346a28edb87ad55d3da1fd6edd57fc1;8445a090f93365287146a26ebff3aad0f1fb29d4b6c3f49bb3fde4f7649b840c;886d69fefa02ab67cc186e91ef54c5c9828b85b7d92b3e8c8dfb97c69cf0faca;4c260d0f62d190ba3f2508f378d1b1c1508a095d9066e884c5ff2ab48ae9ea4b
55570466027b23fefff343086869b4647c4e8064887e20b7b0f49de5a408fac1,370,9,1763941,1741975511000,ALLIANCE,5abd262bc8bdbb7e8ef28144407f4c3ffffe7f0c262f8bb811157ecdd4babcc9;e79179a678704f0a7fc2bc6ba4234c65e5ee2e490502faa64be1f63144859cfc;f454965442b07ea2c3a5b298c938daefb04b9c108fd3a08f84bbf1e28e10f589;de33135814c41160382c93f96ddc4fe1bed00f4196bd7e6de5aed15566165b6e;227da2260d008ce8705244d421b1c839f25879bb24af66d0c9d5dbfe98c3ca05
ef98f2cc84590edfa14aed7a5f007cc488ff261036a1c6aa98b83660eed40cc8,370,9,1765159,1741934534000,ALLIANCE,fea0ad6385e9b46226d58041538818ccc53aa04cc76566e8d127adf2ce09aec0;e44b3ae4a4f9e5fed6919ccf5ecf44fc73fa6ff2a891fe75dd261987a086267e;596f481fd14b60506421087b6b43fc3693becfdcb534f6b79d226cab6a3e92fa;791fc42f530c0c73a1ece67e4d1f45834b34ee1c056803c4fd18ec4700cbacd2;6863d6d47a045abac09923a49f49cf1643e40bfbc9faeaad52e2854c820a12aa
b76709880ced43dd0e5722c70ed8433271e9170f39cc4b2b2c42d8c9c7e3d50b,370,9,1811485,1741994616000,ALLIANCE,a3c1bd9123bdff5f2e52c0ebca4dcaf51083a4b1bfad6b86c3151e307f45ecbc;a605271805d2e425d1cbef27782d95a1b86d2e8d78db31975396cb7def2c4b69;f7346c60b17c3bcdf6fa2fdcbcc222fd9d594d440064412a0ad423a42755c20a;44c365173b4bb27cb0d24c9b553208d921e3c8a509f3ba5c9ae0d913d89e413e;4cda34d76d483bfe88815cbc67f95af0c51e63f7c8d1cd0ce99bf32b43217109
b25bf222aeeee8f6c3b2aed206e395179d1b6d97db90b5459b986fe1937c3b66,370,9,1812587,1742185817000,HORDE,5d75dc38ab61410d72d4f99c5e24d68e9b6f308f4db871f1c1f19f66a54f8eca;59fbb002fe4b685b6f2a7bcdae95ec9f360d7aae48f95c606fa10df14d39c6a6;cd14eef16d0f8fb87892245cb267cf5f2d545757ba1f75cb7419f4c39b693478;09866638c3722943c54ef7f4b2ede92fb4483380da44515e7850c1d3e6d00c4c;373f37c0a441b0755bb20833ecb6fb1faa83be9c12e02a449556c35cb682a47d
35e30a5db69572def04755b7aeff17330794a100b933085da09dcd873d345dbe,382,8,1821661,1742270040000,ALLIANCE,27c9c0529db83fd31564314fe3e4f6de0c58b4ba4a0c37f433807abda5fd76df;6922859fa3e10488a14df5fe6a7d2304eb6733aa137e45912ba2d42f4af1a09d;4494f7874303039785457f2377a1ce3e8bf51aefabe998829f8996c06b9471e8;55e961c63e618d50dd4c90d0488959a25c5ca2d8adc3ae28446e085aa3c39442;89fe92e37578fa80c04d454bc5e23a6854af4f6803ba7462f44ee7009f681110
2d82b023e1adc14a347911da896221dad84e6a24bd448389fa3c0b147074619f,382,8,1829566,1742056658000,HORDE,7a71e03d9f5043894020c5cba4d4fd2ec24d0dc56140fdf7cdfb9a8b0372c582;5a7e973b8f57ac75e49affb8e2147699b0e9833764bcc351fa571d327e29a889;f20099af92c772d42e9e3f0b7ad2369ec81094fceb27ab2ea6dcb0c21b22299c;03c4421d9c502111e4abc29308184e9f65f24f14d3181b7676961840d0bfd579;113f53cce75d81b469c63e8f4a162c8b9acbc8eb6b0d31f59946a435e55856ed
4cdffc9dd9a23389a27c0382919a6b9d299cb7718aa48a2f68abbe5cc048c55d,382,8,1838382,1741908518000,ALLIANCE,a7806b7c05c46eee4b0ebe277f8c9191d9e77907bf72fb0ac5d9a1b73ec4af29;9c405ca18b6cad1f2d28713cad6cfeeb581f20270c910c94e199e789da3bda9a;b66caabcaf9744dac2b399b5b2f91b017547ddc814e6b03e1be57912022c96af;454b8800874e3eb4e16f042886a33ef7d65bee41b55fb3d061d24bbaac7a8d56;9186ad89212005314d2643c19cd2432b7836064155655df985e79269ca31d8a9
577207ffd1017ca4392c3e08aeb548101e723aabf6cb45e3f81ea0239f1a661e,382,8,1845809,1741925689000,ALLIANCE,4db718f0269c5ac9ec2f083ffc5ff85dbd4da94b3c84381ff8a013cf20e9f170;c2a8d2323f6bcb48e65b59f050f7c562f3bff84c589918d011db87b37e840b86;10c0adfd699c739f952d814bb280342ba01e09a15460bf5d4f64ed823eca14fc;303829cacdf869f286ea25af0316e9e670be80660466287c611f60ddc55c02aa;a8d1c63992d94f0b3cdc3e0f0036982b0ad6224eba58356cba1a463bb59a80d9
